id,date,item,category,quantity,unit_price,value,total_price,store,lat,lon
0,10/12/15,milk,dairy,2.00,3.00,6.00,6.00,whole foods,40.7753623,-73.9620333
1,10/12/15,apple,fruits,4.00,2.00,8.00,8.00,whole foods,40.7753623,-73.9620333
2,10/12/15,bagel,bakery,2.00,2.00,4.00,4.00,whole foods,40.7753623,-73.9620333
3,10/12/15,cereal,boxed goods,1.00,8.00,8.00,8.00,whole foods,40.7753623,-73.9620333
4,10/13/15,coffee,drink,1.00,15.00,15.00,15.00,trader joe's,40.778613,-73.9998775
4,10/13/15,orange juice,drink,1.00,3.00,3.00,3.00,trader joe's,40.778613,-73.9998775
3,10/13/15,pasta,boxed goods,2.00,3.00,6.00,6.00,trader joe's,40.778613,-73.9998775
5,10/13/15,salmon,meat,2.00,8.00,16.00,16.00,trader joe's,40.778613,-73.9998775
6,10/13/15,carrot,veggies,1.00,2.00,2.00,2.00,trader joe's,40.778613,-73.9998775
0,10/16/15,milk,dairy,2.00,3.00,6.00,6.00,whole foods,40.7753623,-73.9620333
2,10/16/15,bagel,bakery,3.00,3.00,9.00,9.00,whole foods,40.7753623,-73.9620333
2,10/17/15,broccoli,veggies,2.00,2.00,4.00,4.00,whole foods,40.7753623,-73.9620333
4,10/17/15,coffee,drink,2.00,17.00,34.00,34.00,whole foods,40.7753623,-73.9620333
5,10/17/15,ground beef,meat,1.00,5.00,5.00,5.00,whole foods,40.7753623,-73.9620333
3,10/17/15,rice,boxed goods,1.00,14.00,14.00,14.00,whole foods,40.7753623,-73.9620333
