group	date	value	item	quantity	unit_price
1	10/12/15	6	milk	2	3
1	10/13/15	2			
1	10/16/15	6	milk	2	3
1	10/17/15	4			
2	10/12/15	8	apple	4	2
2	10/13/15	0			
2	10/16/15				
2	10/17/15				
3	10/12/15	4	bagel	2	2
3	10/13/15				
3	10/16/15	9	bagel	3	3
3	10/17/15				
4	10/12/15	8	cereal	1	8
4	10/13/15				
4	10/16/15	0			
4	10/17/15	0			
5	10/12/15	2			
5	10/13/15	6	pasta	2	3
5	10/16/15	2			
5	10/17/15	14	rice	1	14
6	10/12/15	15	coffee	1	15
6	10/13/15	3	orange juice	1	3
6	10/16/15	34	coffee	2	17
6	10/17/15				
7	10/12/15	7			
7	10/13/15	16	salmon	2	8
7	10/16/15	4			
7	10/17/15	5	ground beef	1	5
8	10/12/15	1			
8	10/13/15	2	carrot	1	2
8	10/16/15				
8	10/17/15	4	broccoli	2	2
